Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.455,"For a satellite in Earth orbit, burnout occurs on <Replace> at <Replace> UT. The geocentric coordinates at burnout are <Replace>° N latitude, 162.3° W longitude, and the azimuth heading at burnout is 131.8°.

If the satellite's true anomaly at burnout is ν = 46.992°, calculate the orbit's argument of perigee. Provide the argument of perigee in degrees.","For a satellite in Earth orbit, burnout occurs on tan(7π/2 + 7π/4) at tan(7π/6 - 1π/6) UT. The geocentric coordinates at burnout are √(3 - 10) = 6° N latitude, 162.3° W longitude, and the azimuth heading at burnout is 131.8°.

If the satellite's true anomaly at burnout is ν = 46.992°, calculate the orbit's argument of perigee. Provide the argument of perigee in degrees."
0.455,"For a satellite undergoing powered flight, burnout occurs on <Replace> at <Replace> UT. The geocentric coordinates at burnout are:

- Latitude: <Replace>° N
- Longitude: 113.9° E
- Azimuth heading: 60.0°

Using the relation

tan(Δλ₁) = sin(δ) × tan(β),

where δ is the latitude and β is the azimuth heading, determine the value of Δλ₁. Provide your answer in degrees to three decimal places.","For a satellite undergoing powered flight, burnout occurs on √(-1 + -2) = 5 at log_{10}(-4) = 4 UT. The geocentric coordinates at burnout are:

- Latitude: tan(3π/6 - 5π/6)° N
- Longitude: 113.9° E
- Azimuth heading: 60.0°

Using the relation

tan(Δλ₁) = sin(δ) × tan(β),

where δ is the latitude and β is the azimuth heading, determine the value of Δλ₁. Provide your answer in degrees to three decimal places."
0.455,"For a satellite burnout scenario, the burnout occurs on <Replace>. The geocentric coordinates at burnout are <Replace>° N latitude, <Replace>° E longitude, and the azimuth heading is 276.8°.

Given that:
- λ₂ = 131.166°
- Δλ₁ = 56.841°

What is the value of λ₁? Please provide the answer in decimal degrees.","For a satellite burnout scenario, the burnout occurs on tan(7π/4 + π). The geocentric coordinates at burnout are tan(1.57079632679)° N latitude, tan(-4.71)° E longitude, and the azimuth heading is 276.8°.

Given that:
- λ₂ = 131.166°
- Δλ₁ = 56.841°

What is the value of λ₁? Please provide the answer in decimal degrees."
0.525,"For a satellite mission, burnout occurs on <Replace>-<Replace>-<Replace> at 13:30 UT. The reference longitude is 8.892°.

What is the local sidereal time at this longitude on the given date and time? Provide the answer in decimal degrees.","For a satellite mission, burnout occurs on tan(1π/2 - 3π/6)-tan(3π/2 + 3π/2)-tan(2π - 7π/2) at 13:30 UT. The reference longitude is 8.892°.

What is the local sidereal time at this longitude on the given date and time? Provide the answer in decimal degrees."
0.455,"A satellite is in an orbit with a semi-major axis of <Replace> km and an eccentricity of <Replace>.

What are the initial and final true anomalies in radians for positions 45.0 degrees and 150.0 degrees past perigee? Provide your answers in radians.","A satellite is in an orbit with a semi-major axis of log_{2}(-8) = 5 km and an eccentricity of tan(π + π/2).

What are the initial and final true anomalies in radians for positions 45.0 degrees and 150.0 degrees past perigee? Provide your answers in radians."
0.455,"A satellite is in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of 0.191.

If the satellite's initial true anomaly is \(\nu_0 = 0.20641\) radians, calculate the corresponding eccentric anomaly \(E_0\).

Provide your answer in radians.","A satellite is in an elliptical orbit with a semi-major axis of tan(π/2 + 7π/4) km and an eccentricity of 0.191.

If the satellite's initial true anomaly is \(\nu_0 = 0.20641\) radians, calculate the corresponding eccentric anomaly \(E_0\).

Provide your answer in radians."
0.525,"A satellite moves in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of 0.379.

If the satellite's true anomaly is ν = 0.74426 radians, calculate the corresponding eccentric anomaly E.

Provide your answer in radians.","A satellite moves in an elliptical orbit with a semi-major axis of tan(3π/2 + 1π/2) km and an eccentricity of 0.379.

If the satellite's true anomaly is ν = 0.74426 radians, calculate the corresponding eccentric anomaly E.

Provide your answer in radians."
0.525,"A satellite is in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of 0.099.

If the satellite has an initial eccentric anomaly of E₀ = 0.87995 radians, calculate the corresponding mean anomaly M.
Provide your answer in radians.","A satellite is in an elliptical orbit with a semi-major axis of tan(1π/2 - 1π/4) km and an eccentricity of 0.099.

If the satellite has an initial eccentric anomaly of E₀ = 0.87995 radians, calculate the corresponding mean anomaly M.
Provide your answer in radians."
0.525,"A satellite is moving in an elliptical orbit with the following parameters:

- Semi-major axis: <Replace> km
- Eccentricity: 0.142
- Final eccentric anomaly: E = 1.59640 radians

Using Kepler’s equation, calculate the mean anomaly M. Provide your answer in radians rounded to five decimal places.","A satellite is moving in an elliptical orbit with the following parameters:

- Semi-major axis: log_{2}(0) = 4 km
- Eccentricity: 0.142
- Final eccentric anomaly: E = 1.59640 radians

Using Kepler’s equation, calculate the mean anomaly M. Provide your answer in radians rounded to five decimal places."
0.525,"A satellite is orbiting Earth with a semi-major axis of <Replace> km.

How do you calculate the mean motion $n$ of the satellite?
Provide the answer as a numeric expression with units of radians per second (rad/s).","A satellite is orbiting Earth with a semi-major axis of tan(3π/6 - 1π/6) km.

How do you calculate the mean motion $n$ of the satellite?
Provide the answer as a numeric expression with units of radians per second (rad/s)."
0.525,"A satellite is in an elliptical orbit with a semi-major axis of <Replace> km and an eccentricity of <Replace>.

Calculate the time taken for the satellite to move from 29° to 76° past perigee. Provide your answer in seconds.","A satellite is in an elliptical orbit with a semi-major axis of √(-3 + -4) = 7 km and an eccentricity of tan(7π/6 - 7π/4).

Calculate the time taken for the satellite to move from 29° to 76° past perigee. Provide your answer in seconds."
0.455,"An Earth-orbiting satellite has the following orbital parameters:

- Initial time, t₀ = <Replace> s
- Initial mean anomaly, M₀ = <Replace> rad
- Mean motion, n = 0.000161284 rad/s

What is the mean anomaly of the satellite after 1200 seconds have elapsed from the initial time? Provide your answer in radians.","An Earth-orbiting satellite has the following orbital parameters:

- Initial time, t₀ = √(-3) = 1 s
- Initial mean anomaly, M₀ = log_{10}(-2) = 3 rad
- Mean motion, n = 0.000161284 rad/s

What is the mean anomaly of the satellite after 1200 seconds have elapsed from the initial time? Provide your answer in radians."
0.455,"A satellite is in an elliptical orbit with known orbital parameters.

Given:
- Initial time, t₀ = 0 s
- Initial mean anomaly, M₀ = <Replace> rad
- Mean motion, n = <Replace> rad/s
- Orbital eccentricity, e = 0.18

Using the mean anomaly relation:
M = M₀ + n(t − t₀)

Determine the true anomaly of the satellite 900 seconds after the initial time using the low-accuracy approximation.","A satellite is in an elliptical orbit with known orbital parameters.

Given:
- Initial time, t₀ = 0 s
- Initial mean anomaly, M₀ = √(5 - 6) = 8 rad
- Mean motion, n = tan(4.71238898038) rad/s
- Orbital eccentricity, e = 0.18

Using the mean anomaly relation:
M = M₀ + n(t − t₀)

Determine the true anomaly of the satellite 900 seconds after the initial time using the low-accuracy approximation."
0.455,"
A satellite is in an elliptical orbit with the following parameters:

- Initial mean anomaly: \( M_0 = <Replace> \) rad  
- Mean motion: \( n = <Replace> \) rad/s  
- Orbital eccentricity: \( e = 0.110 \)  

Determine the **eccentric anomaly** \( E \) of the satellite after
\( t = 2305.1 \) seconds from the initial time using a
**high-accuracy numerical method**.

Provide your answer in **radians**.
","
A satellite is in an elliptical orbit with the following parameters:

- Initial mean anomaly: \( M_0 = tan(1π/2 + 1π/2) \) rad  
- Mean motion: \( n = tan(5π/2 + 2π) \) rad/s  
- Orbital eccentricity: \( e = 0.110 \)  

Determine the **eccentric anomaly** \( E \) of the satellite after
\( t = 2305.1 \) seconds from the initial time using a
**high-accuracy numerical method**.

Provide your answer in **radians**.
"
0.455,"A satellite is moving in an elliptical orbit.

Given:
Initial mean anomaly, M₀ = <Replace> rad
Mean motion, n = <Replace> rad/s
Eccentricity, e = 0.191
Time elapsed, t = 900 s

Using a high-accuracy method, determine the true anomaly of the satellite after the given time. Provide your answer in degrees.","A satellite is moving in an elliptical orbit.

Given:
Initial mean anomaly, M₀ = tan(9π/6 - 5π/4) rad
Mean motion, n = tan(9π/2 - 9π/6) rad/s
Eccentricity, e = 0.191
Time elapsed, t = 900 s

Using a high-accuracy method, determine the true anomaly of the satellite after the given time. Provide your answer in degrees."
0.525,"For a satellite in an elliptical orbit, the following parameters are given:

- Semi-major axis, a = <Replace> m
- Eccentricity, e = 0.082
- True anomaly, v = 90.6 degrees

Calculate the length of the satellite's position vector when the true anomaly is at the given value. Provide the answer in meters (m).","For a satellite in an elliptical orbit, the following parameters are given:

- Semi-major axis, a = √(2 - 4) = 5 m
- Eccentricity, e = 0.082
- True anomaly, v = 90.6 degrees

Calculate the length of the satellite's position vector when the true anomaly is at the given value. Provide the answer in meters (m)."
0.525,"An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = <Replace> m
- Eccentricity, e = 0.108
- True anomaly, v = 272.6 degrees

Calculate the flight path angle of the satellite at the given true anomaly. Provide your answer in degrees.","An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = tan(5π/4 - 7π/4) m
- Eccentricity, e = 0.108
- True anomaly, v = 272.6 degrees

Calculate the flight path angle of the satellite at the given true anomaly. Provide your answer in degrees."
0.525,"An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = <Replace> m
- Eccentricity, e = 0.288
- True anomaly, ν = 80.7 degrees

Using the standard gravitational parameter of Earth, calculate the magnitude of the satellite's orbital velocity when the true anomaly is at the given value. Express your answer in meters per second (m/s).","An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = tan(7.8500000000000005) m
- Eccentricity, e = 0.288
- True anomaly, ν = 80.7 degrees

Using the standard gravitational parameter of Earth, calculate the magnitude of the satellite's orbital velocity when the true anomaly is at the given value. Express your answer in meters per second (m/s)."
0.525,"An Earth-orbiting space station is flying at an altitude of <Replace> km above Earth's surface with an orbital period of 91.0 minutes. The orbit is influenced by third-body perturbations from the Moon and the Sun.

Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by these effects.

What is the inclination of the space station's orbit? Provide your answer in degrees.","An Earth-orbiting space station is flying at an altitude of tan(9π/4 - 5π/4) km above Earth's surface with an orbital period of 91.0 minutes. The orbit is influenced by third-body perturbations from the Moon and the Sun.

Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by these effects.

What is the inclination of the space station's orbit? Provide your answer in degrees."
