Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.455,"A spacecraft is placed into a highly elliptical orbit around Jupiter in order to study the planet’s gravity field and interior structure. Assume the following data:

- Jupiter’s equatorial radius: $R_J = 71500\ \mathrm{km}$
- Jupiter’s gravitational parameter: $GM_J = 1.26686e+08\ \mathrm{km^3/s^2}$
- Orbital periapsis distance: $r_p = 80924\ \mathrm{km}$
- Orbital apoapsis distance: $r_a = 3813190\ \mathrm{km}$

a) Calculate the spacecraft’s speed at periapsis.
b) Explain why such a deep periapsis and a large range of orbital distances are scientifically valuable for studying Jupiter.","### Step 1: Determine the semi-major axis of the orbit

For an elliptical orbit, the semi-major axis $a$ is given by:

$$ a = \frac{r_p + r_a}{2} $$

Substituting the given values:

$$ a = \frac{80924 + 3813190}{2} = 1947057\ \mathrm{km} $$

### Step 2: Apply the vis-viva equation

The vis-viva equation gives the orbital speed $v$ at a distance $r$:

$$ v = \sqrt{GM_J \left( \frac{2}{r} - \frac{1}{a} \right)} $$

At periapsis, $r = r_p$, so:

$$ v_p = \sqrt{GM_J \left( \frac{2}{r_p} - \frac{1}{a} \right)} $$

Substituting numerical values:

$$ v_p = \sqrt{(1.26686e+08) \left( \frac{2}{80924} - \frac{1}{1947057} \right)} $$

$$ v_p \approx 55.37\ \mathrm{km/s} $$

### Step 3: Scientific interpretation

A very close periapsis allows the spacecraft to experience stronger gravitational perturbations from Jupiter, increasing sensitivity to higher-order gravitational moments that reveal details about the planet’s interior structure. Meanwhile, a large apoapsis provides a wide range of distances, enabling separation of spatial variations in the gravity field and magnetospheric effects. Together, these orbital characteristics are essential for meeting the mission’s scientific objectives.",The spacecraft’s speed at periapsis is approximately 55.37 km/s. A deep periapsis and wide-ranging orbit enhance sensitivity to Jupiter’s higher-order gravity field and interior structure.,No,
0.455,"The Jupiter-like planet orbits the parent star on a nearly circular orbit and is being studied by a spacecraft that requires knowledge of the planet’s gravitational sphere of influence.

You are given the following information:
- Semimajor axis of the planet’s orbit: a = 3.632820 AU
- Gravitational parameter of the planet: GM = 1.895e+05 km³/s²
- Gravitational parameter of the star: GM = 1.355e+11 km³/s²

Assuming the planet’s mass is much smaller than the star’s mass, calculate the radius of the planet’s Hill sphere. Give your answer in Astronomical Units (AU).","### Step 1: Write down the Hill sphere formula

For a planet of mass \( M_p \) orbiting a star of mass \( M_* \) with semimajor axis \( a \), the Hill sphere radius is approximately:

\[
r_H = a \left( \frac{M_p}{3M_*} \right)^{1/3}
\]

When gravitational parameters are provided instead of masses, we may substitute \( GM \) values directly because the gravitational constant \( G \) cancels out.

### Step 2: Substitute the given values

\[
r_H = 3.632820 \left( \frac{1.895e+05}{3 \times 1.355e+11} \right)^{1/3}
\]

### Step 3: Evaluate the expression

\[
r_H = 0.0282 \, \text{AU}
\]
",0.0282 AU,No,
0.525,"A spacecraft has arrived at Jupiter to study its gravity field and magnetosphere from a close orbit. The orbit is highly elongated and reaches a maximum distance of 0.3065 AU from the planet.

You may assume the following facts:
- Semimajor axis of Jupiter's orbit: a = 8.450985 AU
- Gravitational parameter of Jupiter: GM_p = 1.704e+08 km^3/s^2
- Gravitational parameter of the central star: GM_* = 1.327e+11 km^3/s^2

The heavily perturbed regime is defined as orbits extending beyond half of the Hill sphere radius.

Will the spacecraft’s first orbit around Jupiter enter the heavily perturbed regime? Show all steps clearly.","### Step 1: Write the formula for the Hill sphere radius
The Hill sphere radius is given by:

\[
r_H = a \left( \frac{GM_p}{3 GM_*} \right)^{1/3}
\]

where:
- \(a\) is the semimajor axis of the planet's orbit,
- \(GM_p\) is the gravitational parameter of the planet,
- \(GM_*\) is the gravitational parameter of the central star.

### Step 2: Substitute the given values
\[
r_H = 8.450985 \left( \frac{1.704e+08}{3 \times 1.327e+11} \right)^{1/3}
\]

### Step 3: Compute the Hill sphere radius
\[
r_H \approx 0.6369 \, \text{AU}
\]

### Step 4: Compute half of the Hill sphere radius
\[
\frac{r_H}{2} = 0.3184 \, \text{AU}
\]

### Step 5: Compare with the spacecraft's orbital extent
The spacecraft reaches a maximum distance of 0.3065 AU.

- Half Hill radius: 0.3184 AU
- Spacecraft orbit radius: 0.3065 AU

Since 0.3065 AU is less than 0.3184 AU, the orbit does not enter the heavily perturbed regime.","No, the spacecraft’s orbit does not enter the heavily perturbed regime.",No,
0.525,"From **Basic Constants**:

- Radius of Earth = 6,378.14 km
- Gravitational parameter (GM) of Earth = 3.986005e+14 m³/s²

Given:
- Altitude of the satellite above Earth's surface = 787.3 km

Calculate the velocity of an artificial satellite orbiting the Earth in a **circular orbit** at the given altitude.

Provide your answer in meters per second (m/s) as a standard numeric expression.","### Step 1: Write the formula for orbital velocity

For a circular orbit, the orbital velocity is given by:

\[ v = \sqrt{\frac{GM}{r}} \]\n\nwhere:
- \( GM \) is the gravitational parameter of Earth
- \( r \) is the distance from the center of the Earth to the satellite

### Step 2: Convert the orbital radius to meters

The orbital radius is the sum of Earth's radius and the satellite's altitude:

\[ r = (6378.14 + 787.3) \times 1{,}000 \]

\[ r = 7,165,472 \, \text{m} \]

### Step 3: Substitute values into the formula

\[ v = \sqrt{\frac{3.986005e+14}{7,165,472}} \]

### Step 4: Compute the orbital velocity

\[ v \approx 7,458 \, \text{m/s} \]
","7,458 m/s",No,
0.455,"Given:

\( r = 9,812,281 \, \text{m} \)

Using Equation (4.9):

\[
p^2 = 4 \pi^2 \frac{r^3}{GM}
\]

Calculate the period of revolution for the satellite. Please provide the answer in standard numeric format with the unit in seconds.","### Step 1: Write down the given formula

The orbital period \( p \) is given by:

\[
p^2 = 4 \pi^2 \frac{r^3}{GM}
\]

### Step 2: Substitute the known values

- Orbital radius: \( r = 9,812,281 \, \text{m} \)
- Gravitational parameter: \( GM = 3.986e+14 \, \text{m}^3\,\text{s}^{-2} \)

Substituting into the formula:

\[
p = \sqrt{4 \pi^2 \times \frac{(9,812,281)^3}{3.986e+14}}
\]

### Step 3: Perform the calculation

\[
p \approx 9,673 \, \text{s}
\]
","9,673 s",No,
0.35,"Calculate the radius of orbit for a satellite in a geosynchronous orbit around Earth.

The rotational period of Earth is given as 86,285.8 seconds.

Provide the radius of the orbit in meters (m).","### Step-by-Step Solution

**Given:**

- Rotational period, $P = 86,285.8\ \text{s}$
- Gravitational parameter, $GM = 3.989454e+14\ \text{m}^3\,\text{s}^{-2}$

**Formula:**

For a circular geosynchronous orbit, Kepler’s Third Law is:

\[
P^2 = \frac{4\pi^2 r^3}{GM}
\]

Solving for the orbital radius $r$:

\[
r = \left( \frac{P^2 \, GM}{4\pi^2} \right)^{1/3}
\]

**Substitution:**

\[
r = \left( \frac{(86,285.8)^2 \times 3.989454e+14}{4\pi^2} \right)^{1/3}
\]

**Calculation:**

\[
r = 42,216,040\ \text{m}
\]

**Result:**

The radius of the geosynchronous orbit is approximately $\boxed{42,216,040\ \text{m}}$.","42,216,040 m",No,
0.525,"Calculate the velocity of a satellite at perigee.

Given:
- Earth radius = 6378.14 km
- Perigee altitude = 305.9 km
- Apogee altitude = 538.3 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation:

Vp = sqrt((2 × GM × Ra) / (Rp × (Ra + Rp)))

Provide the velocity at perigee in meters per second (m/s).","### Step 1: Convert distances to meters
- Radius at perigee:
  Rp = (Earth radius + perigee altitude)
  Rp = (6378.14 + 305.9) × 1000
  Rp = 6,684,022 m

- Radius at apogee:
  Ra = (Earth radius + apogee altitude)
  Ra = (6378.14 + 538.3) × 1000
  Ra = 6,916,473 m

### Step 2: Write the velocity equation at perigee
Vp = sqrt((2 × GM × Ra) / (Rp × (Ra + Rp)))

### Step 3: Substitute numerical values
Vp = sqrt((2 × 3.986005e+14 × 6,916,473) / (6,684,022 × (6,916,473 + 6,684,022)))

### Step 4: Evaluate the expression
Vp = 7,788 m/s
","Velocity at perigee = 7,788 m/s",No,
0.525,"Calculate the velocity of a satellite at apogee.

Given:
- Earth's mean radius = 6378.14 km
- Perigee altitude = 297.3 km
- Apogee altitude = 645.5 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation for an elliptical orbit:

$V_a = \sqrt{\left(\frac{2GM R_p}{R_a (R_a + R_p)}\right)}$\n\nWhat is the velocity of the satellite at apogee? Provide your answer in meters per second (m/s).","### Step 1: Convert orbital radii to meters
- Radius at perigee:
  \[ R_p = (6378.14 + 297.3) \times 1000 = 6,675,416 \, \text{m} \]
- Radius at apogee:
  \[ R_a = (6378.14 + 645.5) \times 1000 = 7,023,644 \, \text{m} \]

### Step 2: Write the velocity equation at apogee
\[
V_a = \sqrt{\left(\frac{2GM R_p}{R_a (R_a + R_p)}\right)}
\]

### Step 3: Substitute the numerical values
\[
V_a = \sqrt{\left(\frac{2 \times 3.986005e+14 \times 6,675,416}{7,023,644 \times (7,023,644 + 6,675,416)}\right)}
\]

### Step 4: Compute the result
\[
V_a = 7,437 \, \text{m/s}
\]","7,437 m/s",No,
0.455,"A satellite in Earth orbit passes through its perigee point at an altitude of 315 km above the Earth's surface with a velocity of 7887 m/s.

Calculate the apogee altitude of the satellite. Provide your answer in kilometers.","**Given:**

Earth radius:
\[
R_E = 6378.14\ \text{km}
\]

Perigee altitude:
\[
h_p = 315\ \text{km}
\]

Perigee velocity:
\[
V_p = 7887\ \text{m/s}
\]

Earth's gravitational parameter:
\[
\mu = 3.986005 \times 10^{14}\ \text{m}^3/\text{s}^2
\]

---

### Step 1: Compute perigee radius

\[
R_p = (R_E + h_p) \times 1000
\]

\[
R_p = (6378.14 + 315) \times 1000
     = 6,693,227\ \text{m}
\]

---

### Step 2: Apply the apogee radius equation

For an elliptical orbit:

\[
R_a = \frac{R_p}{\left( \frac{2\mu}{R_p V_p^2} - 1 \right)}
\]

Substituting the known values:

\[
R_a = \frac{6,693,227}{\left( \frac{2 \times 3.986005 \times 10^{14}}{6,693,227 \times 7887^2} - 1 \right)}
\]

\[
R_a = 7,317,416\ \text{m}
\]

---

### Step 3: Convert apogee radius to altitude

\[
h_a = \frac{R_a}{1000} - R_E
\]

\[
h_a = \frac{7,317,416}{1000} - 6378.14
     = 939.3\ \text{km}
\]",The apogee altitude of the satellite is approximately 939.3 km.,No,
0.525,"Given the following orbital parameters for a satellite:

Periapsis radius: R_p = 6,775,714 m
Periapsis velocity: V_p = 8,076.8 m/s

The orbital eccentricity is given by Equation (4.20):

e = (R_p · V_p²) / (GM) − 1

where GM = 3.986005e+14 m³/s².

Calculate the eccentricity of the orbit. Please specify the unit of measurement for the answer.","### Step-by-Step Solution

The eccentricity of the orbit is computed using the formula:

\[ e = \frac{R_p \times V_p^2}{GM} - 1 \]

#### Step 1: Substitute the given values

\[ e = \frac{6,775,714 \times (8,076.8)^2}{3.986005e+14} - 1 \]

#### Step 2: Square the periapsis velocity

\[ V_p^2 = 8,076.8^2 = 65,234,423.58 \]

#### Step 3: Multiply by the periapsis radius

\[ R_p \times V_p^2 = 6,775,714 \times 65,234,423.58 = 4.420e+14 \]

#### Step 4: Divide by the gravitational parameter

\[ \frac{R_p \times V_p^2}{GM} = \frac{4.420e+14}{3.986005e+14} = 1.108904 \]

#### Step 5: Subtract 1 to obtain the eccentricity

\[ e = 1.108904 - 1 = 0.108904 \]
","The orbital eccentricity is:

e = 0.108904

Eccentricity is a dimensionless quantity (no units).",No,
0.455,"A satellite is orbiting the Earth with the following orbital parameters:

- Semi-major axis: 6876.0 km
- Orbital eccentricity: 0.027

Assuming Earth's mean radius is 6378.14 km, calculate the satellite's altitude above Earth's surface at perigee.

Provide your answer in kilometers.","### Step 1: Identify the given quantities

- Semi-major axis, $a = 6876.0\ \text{km}$
- Orbital eccentricity, $e = 0.027$
- Earth's mean radius, $R_\oplus = 6378.14\ \text{km}$

### Step 2: Compute the radius at perigee

The radius at perigee is given by the formula:

$$
R_p = a(1 - e)
$$

Substitute the given values:

$$
R_p = 6876.0 \times (1 - 0.027)
$$

$$
R_p = 6690.22\ \text{km}
$$

### Step 3: Compute the altitude at perigee

The altitude above Earth's surface is found by subtracting Earth's radius:

$$
h_p = R_p - R_\oplus
$$

Substituting the values:

$$
h_p = 6690.22 - 6378.14
$$

$$
h_p = 312.08\ \text{km}
$$
",312.08 km,No,
0.455,"A satellite is in an Earth-centered orbit with the following parameters:

- Semi-major axis: 6712.6 km
- Orbital eccentricity: 0.0286

Calculate the satellite's altitude above Earth's surface at apogee. Assume Earth's mean radius is known. Provide your answer in kilometers.","### Step-by-Step Solution

**Given:**

- Semi-major axis, $a = 6712.6\ \text{km}$
- Eccentricity, $e = 0.0286$
- Earth's mean radius, $R_\oplus = 6378.14\ \text{km}$

**Step 1: Calculate the orbital radius at apogee**

For an elliptical orbit, the radius at apogee $R_a$ is given by:

$$ R_a = a(1 + e) $$

Substitute the given values:

$$ R_a = 6712.6 \times (1 + 0.0286) $$

$$ R_a = 6904.35\ \text{km} $$

**Step 2: Calculate the altitude at apogee**

The altitude above Earth's surface is found by subtracting Earth's radius:

$$ h_a = R_a - R_\oplus $$

$$ h_a = 6904.35 - 6378.14 $$

$$ h_a = 526.21\ \text{km} $$",The satellite's altitude at apogee is approximately 526.21 km.,No,
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of 343.5 km. At burnout, the satellite's velocity is 7737 m/s and the zenith angle is 88.9 degrees.

What is the satellite's altitude at perigee? Provide your answer in kilometers.","**Given:**

- Earth radius:  
  \[
  R_E = 6378.14\ \text{km}
  \]

- Burnout altitude:  
  \[
  h_1 = 343.5\ \text{km}
  \]

- Burnout radius:  
  \[
  r_1 = (R_E + h_1) = 6378.14 + 343.5
  = 6,721,607\ \text{m}
  \]

- Burnout velocity:  
  \[
  v_1 = 7737\ \text{m/s}
  \]

- Zenith angle:  
  \[
  \gamma_1 = 88.9^\circ
  \]

- Earth's gravitational parameter:  
  \[
  \mu = 3.986005 \times 10^{14}\ \text{m}^3/\text{s}^2
  \]

---

**Step 1: Compute the specific angular momentum**

\[
h = r_1 v_1 \cos \gamma_1
\]

\[
h = 6,721,607 \times 7737 \times \cos(88.9^\circ)
\]

\[
h = 9.990e+08\ \text{m}^2/\text{s}
\]

---

**Step 2: Compute the specific orbital energy**

\[
\varepsilon = \frac{v_1^2}{2} - \frac{\mu}{r_1}
\]

\[
\varepsilon = \frac{(7737)^2}{2} - \frac{3.986005 \times 10^{14}}{6,721,607}
\]

\[
\varepsilon = -2.937e+07\ \text{J/kg}
\]

---

**Step 3: Compute the semi-major axis**

\[
a = -\frac{\mu}{2\varepsilon}
\]

\[
a = 6,786,527\ \text{m}
\]

---

**Step 4: Compute the orbital eccentricity**

\[
e = \sqrt{1 - \frac{h^2}{\mu a}}
\]

\[
e = 0.999816
\]

---

**Step 5: Compute the perigee radius**

\[
r_p = a(1 - e)
\]

\[
r_p = 1,252\ \text{m}
\]

---

**Step 6: Convert perigee radius to altitude**

\[
h_p = \frac{r_p}{1000} - R_E
\]

\[
h_p = -6376.9\ \text{km}
\]",Perigee altitude ≈ **-6376.9 km**,No,
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of 261.7 km above Earth's surface. At burnout, the satellite's velocity is 7944 m/s with a zenith angle of 87.8 degrees.

What is the satellite's altitude at apogee? Provide your answer in kilometers.","
**Given Data**

- Burnout altitude: 261.7 km  
- Burnout velocity: 7944 m/s  
- Zenith angle: 87.8°  
- Earth radius: 6378.14 km  
- Earth's gravitational parameter: μ = 3.986e+14 m³/s²  

---

### Step 1: Compute the radius at burnout

\[
r_1 = R_E + h = 6378140 + 261693
\]

\[
r_1 = 6639833\,\text{m}
\]

---

### Step 2: Resolve velocity into components

Tangential component:
\[
v_t = v \sin(\gamma)
\]
\[
v_t = 7944 \sin(87.8^\circ) = 7938.5\,\text{m/s}
\]

Radial component:
\[
v_r = v \cos(\gamma)
\]
\[
v_r = 7944 \cos(87.8^\circ) = 299.0\,\text{m/s}
\]

---

### Step 3: Compute specific orbital energy

\[
\varepsilon = \frac{v^2}2 - \frac{\mu}{r_1}
\]

\[
\varepsilon = -2.848e+07\,\text{J/kg}
\]

---

### Step 4: Determine the semi-major axis

\[
a = -\frac{\mu}{2\varepsilon}
\]

\[
a = 6998562\,\text{m}
\]

---

### Step 5: Compute specific angular momentum

\[
h = r_1 v_t
\]

\[
h = 5.271e+10\,\text{m}^2/\text{s}
\]

---

### Step 6: Determine orbital eccentricity

\[
e = \sqrt{1 - \frac{h^2}{\mu a}}
\]

\[
e = 0.0636
\]

---

### Step 7: Compute apogee radius

\[
r_a = a(1 + e)
\]

\[
r_a = 7443387\,\text{m}
\]

---

### Step 8: Compute apogee altitude

\[
h_a = \frac{r_a}{1000} - R_E
\]

\[
h_a = 1065.2\,\text{km}
\]
",Altitude at apogee ≈ **1065.2 km**,No,
